"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"0","250.70311071961328","374.44779090125996","0.007568359375","0.005859375","0.00927734375","2200","0.00012089558901245268","32","0.00012089558901245268","0","0.00012089558901245268","0.00012089558901245268","1:0.0011840421895117637","1:68","1:0.0011528539964168194","0.007568359375","0.0029296875","Yes"
"1","310.068019180278","419.9826353683182","0.0029296875","0.00390625","0.001953125","2200","0.00016605066384790118","32","0.00016605066384790118","0","0.00016605066384790118","0.00016605066384790118","2:0.015418432525338366;0:0.0011840421895117637","2:68;0:68","2:0.016346710103007284;0:0.0011528539964168194","0.0029296875","0.002685546875","Yes"
"2","17.62894943024514","27.922660853076827","0.0205078125","0.0390625","0.001953125","2200","0.0009502407043628099","32","0.0009502407043628099","0","0.0009502407043628099","0.0009502407043628099","1:0.015418432525338366;3:0.013576646272811826","1:68;3:88","1:0.016346710103007284;3:0.012752920787223926","0.0205078125","0.01171875","Yes"
"3","269.979050240453","308.71494375394593","0.003173828125","0.00390625","0.00244140625","2200","0.00013584645651552125","32","0.00013584645651552125","0","0.00013584645651552125","0.00013584645651552125","16:0.0009806482440417041;2:0.013576646272811826;4:0.0013210615258184844","16:68;2:88;4:68","16:0.0010648595148856077;2:0.012752920787223926;4:0.0010387695915735073","0.003173828125","0.00927734375","Yes"
"4","266.6190005816526","491.71217775449355","0.00390625","0.00439453125","0.00341796875","2200","0.000126118136650571","32","0.000126118136650571","0","0.000126118136650571","0.000126118136650571","3:0.0013210615258184844;5:0.0010227115272145315","3:68;5:68","3:0.0010387695915735073;5:0.002167894355886324","0.00390625","0.003173828125","Yes"
"5","336.7007568527875","442.3036817463033","0.003173828125","0.00244140625","0.00390625","2200","0.0002117872205420679","32","0.0002117872205420679","0","0.0002117872205420679","0.0002117872205420679","6:0.0009939756757993135;4:0.0010227115272145315","6:68;4:68","6:0.001000291797371905;4:0.002167894355886324","0.003173828125","0.00341796875","Yes"
"6","273.7004131574467","302.7754970864196","0.001708984375","0.00244140625","0.0009765625","2200","0.00020432844899944837","32","0.00020432844899944837","0","0.00020432844899944837","0.00020432844899944837","5:0.0009939756757993135;7:0.0008672516572720557","5:68;7:68","5:0.001000291797371905;7:0.0008405894797901547","0.001708984375","0.002197265625","Yes"
"7","284.27168060659415","301.43541180986534","0.00830078125","0.01416015625","0.00244140625","2200","0.00042410609134112314","32","0.00042410609134112314","0","0.00042410609134112314","0.00042410609134112314","17:0.0010673292432838988;6:0.0008672516572720557;8:0.0014571948934267165","17:68;6:68;8:68","17:0.001141553550950275;6:0.0008405894797901547;8:0.0012135087637436537","0.00830078125","0.004150390625","Yes"
"8","132.697908769359","220.98801367782826","0.005859375","0.00830078125","0.00341796875","2200","0.00012966836912373114","32","0.00012966836912373114","0","0.00012966836912373114","0.00012966836912373114","9:0.0033422364104695457;7:0.0014571948934267165","9:68;7:68","9:0.0030763170265499795;7:0.0012135087637436537","0.005859375","0.005126953125","Yes"
"9","69.775299099925","66.36642340015223","0.006591796875","0.01318359375","0","2200","0.0005594637493149772","32","0.0005594637493149772","0","0.0005594637493149772","0.0005594637493149772","8:0.0033422364104695457;10:0.006754416123392143","8:68;10:68","8:0.0030763170265499795;10:0.008947468672592412","0.006591796875","0.00634765625","Yes"
