"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"0","49.06465664188301","47.43354991754262","0.0162353515625","0.030517578125","0.001953125","1560","0.001972151537696836","24","0.001972151537696836","0","0.001972151537696836","0.001972151537696836","1:68","1:0.00965173535281888","1:0.006897328794112506","0.0162353515625","Yes"
"1","74.90578915924094","82.48933238118744","0.0203857421875","0.0283203125","0.012451171875","1560","0.0006347628694123727","24","0.0006347628694123727","0","0.0006347628694123727","0.0006347628694123727","2:68;0:68","2:0.001968272805431298;0:0.00965173535281888","2:0.00187736024786761;0:0.006897328794112506","0.0203857421875","Yes"
"2","241.73288904579155","168.71961456360998","0.00634765625","0.00927734375","0.00341796875","1560","0.0005270718250082182","24","0.0005270718250082182","0","0.0005270718250082182","0.0005270718250082182","1:68;3:68","1:0.001968272805431298;3:0.0035965329180175087","1:0.00187736024786761;3:0.002226221920073962","0.00634765625","Yes"
"3","265.41739999630585","251.8600779494599","0.0501708984375","0.05029296875","0.050048828125","1560","0.0005600384819223856","24","0.0005600384819223856","0","0.0005600384819223856","0.0005600384819223856","16:68;2:68;4:68","16:0.0036820163709254394;2:0.0035965329180175087;4:0.0032801187618098915","16:0.002690094018315936;2:0.002226221920073962;4:0.002519815145625298","0.0501708984375","Yes"
"4","138.06672302710473","132.42151032690455","0.012939453125","0.019287109375","0.006591796875","1560","0.0003768683590801305","24","0.0003768683590801305","0","0.0003768683590801305","0.0003768683590801305","3:68;5:68","3:0.0032801187618098915;5:0.00423356795217561","3:0.002519815145625298;5:0.003003061546029945","0.012939453125","Yes"
"5","138.37502744756884","97.0741208814111","0.228759765625","0.15283203125","0.3046875","1560","0.00030410551705412585","24","0.00030410551705412585","0","0.00030410551705412585","0.00030410551705412585","6:68;4:68","6:0.004043431587197804;4:0.00423356795217561","6:0.0035343266837132015;4:0.003003061546029945","0.228759765625","Yes"
"6","165.21753107977136","137.46844485286837","0.015869140625","0.01611328125","0.015625","1560","0.00022315165874906755","24","0.00022315165874906755","0","0.00022315165874906755","0.00022315165874906755","5:68;7:68","5:0.004043431587197804;7:0.0025873336108521716","5:0.0035343266837132015;7:0.002619919156230499","0.015869140625","Yes"
"7","134.4262103565882","47.15641469254727","0.026123046875","0.040771484375","0.011474609375","1560","0.0003978423308415006","24","0.0003978423308415006","0","0.0003978423308415006","0.0003978423308415006","17:68;6:68;8:68","17:0.00256610755825451;6:0.0025873336108521716;8:0.002374893030421793","17:0.003134607816446422;6:0.002619919156230499;8:0.003411915273492494","0.026123046875","Yes"
"8","128.49306747652557","36.1906876866346","0.0054931640625","0.008544921875","0.00244140625","1560","0.0008586591388778179","24","0.0008586591388778179","0","0.0008586591388778179","0.0008586591388778179","9:68;7:68","9:0.0017177232784677254;7:0.002374893030421793","9:0.002086372149045307;7:0.003411915273492494","0.0054931640625","Yes"
"9","343.19091824077873","28.497756279561276","0.0087890625","0.011962890625","0.005615234375","1560","0.00022529283153801508","24","0.00022529283153801508","0","0.00022529283153801508","0.00022529283153801508","8:68;10:68","8:0.0017177232784677254;10:0.0019975527413947647","8:0.002086372149045307;10:0.0022250417775256937","0.0087890625","Yes"
