"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"0","191.82228824623047","256.76679873764346","0.05078125","0.0947265625","0.0068359375","2280","0.0003535020543338609","32","0.0003535020543338609","0","0.0003535020543338609","0.0003535020543338609","1:0.006998767793948535","1:68","1:0.0012586082197528492","0.05078125","0.0224609375","Yes"
"1","313.28482998941905","448.6091499099016","0.365234375","0.168212890625","0.562255859375","2280","0.0003200228789768942","32","0.0003200228789768942","0","0.0003200228789768942","0.0003200228789768942","2:0.00103103376597255;0:0.006998767793948535","2:68;0:68","2:0.0013192747511283631;0:0.0012586082197528492","0.365234375","0.29638671875","Yes"
"2","138.12399543501982","84.05709975738553","0.019775390625","0.018798828125","0.020751953125","2280","0.00017853011956319603","32","0.00017853011956319603","0","0.00017853011956319603","0.00017853011956319603","1:0.00103103376597255;3:0.0009136210505870934","1:68;3:68","1:0.0013192747511283631;3:0.0020959198207462504","0.019775390625","0.033203125","Yes"
"3","130.38278958723868","140.99455935050142","0.01708984375","0.024658203125","0.009521484375","2280","0.0003298314633274838","32","0.0003298314633274838","0","0.0003298314633274838","0.0003298314633274838","16:0.001207560462870877;2:0.0009136210505870934;4:0.0017654615190225709","16:68;2:68;4:68","16:0.01006360743594592;2:0.0020959198207462504;4:0.0033084038519420045","0.01708984375","0.005126953125","Yes"
"4","302.4221708120817","64.43262322141226","0.0543212890625","0.036376953125","0.072265625","2280","0.0002258309931878937","32","0.0002258309931878937","0","0.0002258309931878937","0.0002258309931878937","3:0.0017654615190225709;5:0.006564517669158859","3:68;5:68","3:0.0033084038519420045;5:0.0032773031148914944","0.0543212890625","0.0625","Yes"
"5","205.63723561346507","74.31737086054063","0.024169921875","0.03271484375","0.015625","2280","0.00020714456100029885","32","0.00020714456100029885","0","0.00020714456100029885","0.00020714456100029885","6:0.003396824828775763;4:0.006564517669158859","6:68;4:68","6:0.004155227878701734;4:0.0032773031148914944","0.024169921875","0.019287109375","Yes"
"6","216.6465105167857","120.80380093909308","0.0244140625","0.01953125","0.029296875","2280","0.00017510372180298828","32","0.00017510372180298828","0","0.00017510372180298828","0.00017510372180298828","5:0.003396824828775763;7:0.008334514036203944","5:68;7:80","5:0.004155227878701734;7:0.015280490321708223","0.0244140625","0.02783203125","Yes"
"7","339.2587690084341","89.06728222888769","0.0445556640625","0.033935546875","0.05517578125","2280","0.0003305864074014641","32","0.0003305864074014641","0","0.0003305864074014641","0.0003305864074014641","17:0.006440430943600861;6:0.008334514036203944;8:0.0067995131321639535","17:68;6:80;8:68","17:0.022094640281592304;6:0.015280490321708223;8:0.0042045404961497945","0.0445556640625","0.03125","Yes"
"8","313.04173044163093","87.4266743846362","0.0078125","0.01123046875","0.00439453125","2280","0.00017521677878755217","32","0.00017521677878755217","0","0.00017521677878755217","0.00017521677878755217","9:0.0036893907339802245;7:0.0067995131321639535","9:68;7:68","9:0.003922775869657891;7:0.0042045404961497945","0.0078125","0.005859375","Yes"
"9","152.3354504705622","45.929906496482154","0.0107421875","0.01513671875","0.00634765625","2280","0.0001805029700500193","32","0.0001805029700500193","0","0.0001805029700500193","0.0001805029700500193","8:0.0036893907339802245;10:0.005326410816562488","8:68;10:68","8:0.003922775869657891;10:0.0034982857203140483","0.0107421875","0.010986328125","Yes"
