"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","348.7578674979288","47.778736098914266","0.012939453125","0.02490234375","0.0009765625","2584","0.0003005462772738741","36","0.0003005462772738741","0","0.0003005462772738741","0.0003005462772738741","1:0.002311503766964512","1:68","1:0.002350996756488255","0.012939453125","Yes"
"1","194.14431019973506","167.44143400862333","0.00634765625","0.01171875","0.0009765625","2584","0.000152981051339723","36","0.000152981051339723","0","0.000152981051339723","0.000152981051339723","2:0.001270839891133052;0:0.002311503766964512","2:68;0:68","2:0.0015596166513084375;0:0.002350996756488255","0.00634765625","Yes"
"2","309.8320845612926","302.9675414651503","0.004638671875","0.00732421875","0.001953125","2584","0.00013506997914885656","36","0.00013506997914885656","0","0.00013506997914885656","0.00013506997914885656","1:0.001270839891133052;3:0.0026325914194736677","1:68;3:68","1:0.0015596166513084375;3:0.0025613001555201964","0.004638671875","Yes"
"3","232.87681341495673","181.50926733465332","0.0126953125","0.02197265625","0.00341796875","2584","0.00029094868091838675","36","0.00029094868091838675","0","0.00029094868091838675","0.00029094868091838675","16:0.00344735604470367;2:0.0026325914194736677;4:0.0034658419327233403","16:68;2:68;4:80","16:0.003460141673417849;2:0.0025613001555201964;4:0.0038710616743024284","0.0126953125","Yes"
"4","221.50412581768236","277.90089152744554","0.032470703125","0.0625","0.00244140625","2584","0.0003706218910651686","36","0.0003706218910651686","0","0.0003706218910651686","0.0003706218910651686","3:0.0034658419327233403;5:0.002744197645349028","3:80;5:68","3:0.0038710616743024284;5:0.0029441069043254775","0.032470703125","Yes"
"5","233.45897208541135","49.54558167806325","0.00244140625","0.00341796875","0.00146484375","2584","0.0002427319963906691","36","0.0002427319963906691","0","0.0002427319963906691","0.0002427319963906691","6:0.0022236980721748734;4:0.002744197645349028","6:68;4:68","6:0.002207930527804547;4:0.0029441069043254775","0.00244140625","Yes"
"6","325.73533319738715","227.5321430366882","0.006103515625","0.01220703125","0","2584","0.00028041365697490143","36","0.00028041365697490143","0","0.00028041365697490143","0.00028041365697490143","5:0.0022236980721748734;7:0.0014183162580927444","5:68;7:68","5:0.002207930527804547;7:0.001700687792437816","0.006103515625","Yes"
"7","199.96160589020207","112.84606122262693","0.0048828125","0.0078125","0.001953125","2584","0.00015063793486304916","36","0.00015063793486304916","0","0.00015063793486304916","0.00015063793486304916","17:0.0013796645027858712;6:0.0014183162580927444;8:0.002034163699850877","17:68;6:68;8:80","17:0.0017087345095926632;6:0.001700687792437816;8:0.002542140640100332","0.0048828125","Yes"
"8","198.6499793055398","127.88067634545556","0.004150390625","0.0068359375","0.00146484375","2584","0.00029591110293592665","36","0.00029591110293592665","0","0.00029591110293592665","0.00029591110293592665","9:0.0024607337510378913;7:0.002034163699850877","9:68;7:80","9:0.002299343535184989;7:0.002542140640100332","0.004150390625","Yes"
"9","194.89714414471553","271.6385355442247","0.01416015625","0.0263671875","0.001953125","2584","0.0001503172319689038","36","0.0001503172319689038","0","0.0001503172319689038","0.0001503172319689038","8:0.0024607337510378913;10:0.0011829594115645437","8:68;10:68","8:0.002299343535184989;10:0.0012815933479430608","0.01416015625","Yes"
"10","178.38010780004936","129.29003502880929","0.018310546875","0.025390625","0.01123046875","2584","0.00022402700994486802","36","0.00022402700994486802","0","0.00022402700994486802","0.00022402700994486802","9:0.0011829594115645437;11:0.0015776401427056164","9:68;11:68","9:0.0012815933479430608;11:0.0013163139959384285","0.018310546875","Yes"
"11","304.9537896282945","245.4179229710934","0.066162109375","0.05810546875","0.07421875","2584","0.0002865849082253388","36","0.0002865849082253388","0","0.0002865849082253388","0.0002865849082253388","18:0.002010978690822479;10:0.0015776401427056164;12:0.0018559440978009323","18:68;10:68;12:68","18:0.0010663132987942803;10:0.0013163139959384285;12:0.0010874651635643107","0.066162109375","Yes"
"12","328.867798363209","165.94970359513889","0.009521484375","0.01708984375","0.001953125","2584","0.0002855173660962583","36","0.0002855173660962583","0","0.0002855173660962583","0.0002855173660962583","13:0.001958568378451292;11:0.0018559440978009323","13:80;11:68","13:0.0015912035736559138;11:0.0010874651635643107","0.009521484375","Yes"
"13","215.8988136389393","190.5470998173668","0.044921875","0.0380859375","0.0517578125","2584","0.00016201561068491258","36","0.00016201561068491258","0","0.00016201561068491258","0.00016201561068491258","12:0.001958568378451292;14:0.0013254237708630878","12:80;14:80","12:0.0015912035736559138;14:0.0014374030336491428","0.044921875","Yes"
"14","340.8861348977294","122.22802439064347","0.005126953125","0.0078125","0.00244140625","2584","0.00012734541393833677","36","0.00012734541393833677","0","0.00012734541393833677","0.00012734541393833677","15:0.0010815957068401605;13:0.0013254237708630878","15:68;13:80","15:0.0010318111286569676;13:0.0014374030336491428","0.005126953125","Yes"
"15","376.05931816051987","33.207875673670685","0.062255859375","0.12109375","0.00341796875","2584","0.00012974177122876857","36","0.00012974177122876857","0","0.00012974177122876857","0.00012974177122876857","14:0.0010815957068401605;19:0.001410199307690263","14:68;19:68","14:0.0010318111286569676;19:0.0008929641066609539","0.062255859375","Yes"
"16","136.24218930549003","80.0791037711363","0.0078125","0.015625","0","2584","0.0005282473426512762","36","0.0005282473426512762","0","0.0005282473426512762","0.0005282473426512762","23:0.001897321803198626;3:0.00344735604470367","23:68;3:68","23:0.0019270478699574822;3:0.003460141673417849","0.0078125","Yes"
"17","290.5153459882423","9.080384106021343","0.00537109375","0.01025390625","0.00048828125","2584","0.00037230821886021176","36","0.00037230821886021176","0","0.00037230821886021176","0.00037230821886021176","7:0.0013796645027858712;27:0.001807017532500732","7:68;27:68","7:0.0017087345095926632;27:0.0019581238533963596","0.00537109375","Yes"
"18","95.51702904608722","87.56258323586422","0.028076171875","0.03564453125","0.0205078125","2584","0.0006183571899678201","36","0.0006183571899678201","0","0.0006183571899678201","0.0006183571899678201","11:0.002010978690822479;31:0.002311864334323649","11:68;31:68","11:0.0010663132987942803;31:0.0019451574606111355","0.028076171875","Yes"
"19","151.6141390836343","59.55212352953285","0.007080078125","0.01220703125","0.001953125","2584","0.0002118103325154582","36","0.0002118103325154582","0","0.0002118103325154582","0.0002118103325154582","35:0.0016822215909340632;15:0.001410199307690263","35:80;15:68","35:0.0014365124842245225;15:0.0008929641066609539","0.007080078125","Yes"
"20","131.86087667815767","146.72191482201794","0.009033203125","0.015625","0.00244140625","2584","0.00028038986348440684","36","0.00028038986348440684","0","0.00028038986348440684","0.00028038986348440684","21:0.00412505032339508","21:68","21:0.003259035476835953","0.009033203125","Yes"
"21","243.1339496046346","157.13123830126335","0.00537109375","0.0087890625","0.001953125","2584","0.0004123970286054751","36","0.0004123970286054751","0","0.0004123970286054751","0.0004123970286054751","36:0.003287940682544177;20:0.00412505032339508;22:0.0027562223367853522","36:68;20:68;22:68","36:0.00240864909847599;20:0.003259035476835953;22:0.0014373275090243387","0.00537109375","Yes"
"22","234.13041539947724","42.90051325186458","0.004638671875","0.00830078125","0.0009765625","2584","0.0002760210847681894","36","0.0002760210847681894","0","0.0002760210847681894","0.0002760210847681894","23:0.002746255548988774;21:0.0027562223367853522","23:68;21:68","23:0.002044835962119379;21:0.0014373275090243387","0.004638671875","Yes"
"23","297.5196453719767","200.6504971121022","0.100830078125","0.20166015625","0","2584","0.00016554355224765357","36","0.00016554355224765357","0","0.00016554355224765357","0.00016554355224765357","22:0.002746255548988774;24:0.0053577179541521025;16:0.001897321803198626","22:68;24:68;16:68","22:0.002044835962119379;24:0.0043828160136346606;16:0.0019270478699574822","0.100830078125","Yes"
