"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","MEASURE error","Operational"
"0","345.9319934711645","412.0725824663012","0.0126953125","0.01708984375","0.00830078125","2400","0.000055327860912121087","32","0.000055327860912121087","0","0.000055327860912121087","0.000055327860912121087","1:0.002323801493180372;10:0.0014961014367921577","1:128;10:128","0.0126953125","Yes"
"1","392.07046792580576","317.5284968228889","0.017333984375","0.02587890625","0.0087890625","2400","0.00026718952479749033","32","0.00026718952479749033","0","0.00026718952479749033","0.00026718952479749033","2:0.0025150420092317494;11:0.15587289491865117;0:0.002323801493180372","2:128;11:128;0:128","0.017333984375","Yes"
"2","458.3895809154429","453.91294064840764","0.026123046875","0.03564453125","0.0166015625","2400","0.000154286634665484","32","0.000154286634665484","0","0.000154286634665484","0.000154286634665484","1:0.0025150420092317494;3:0.0017773652951895147;12:0.0016909678781850124","1:128;3:128;12:148","0.026123046875","Yes"
"3","315.14244721859103","334.9312157188434","0.0205078125","0.02099609375","0.02001953125","2400","0.0002576634365077327","32","0.0002576634365077327","0","0.0002576634365077327","0.0002576634365077327","13:0.0015276731002885346;2:0.0017773652951895147;4:0.0017235832495801628","13:128;2:128;4:128","0.0205078125","Yes"
"4","473.6091716174178","456.76205432802686","0.012451171875","0.015625","0.00927734375","2400","0.00007099466116029922","32","0.00007099466116029922","0","0.00007099466116029922","0.00007099466116029922","3:0.0017235832495801628;5:0.0010745157419111695;14:0.002565256817867456","3:128;5:148;14:228","0.012451171875","Yes"
"5","234.2775020178549","305.53832705608636","0.0126953125","0.01318359375","0.01220703125","2400","0.00014683905915505245","32","0.00014683905915505245","0","0.00014683905915505245","0.00014683905915505245","6:0.008438121212747896;4:0.0010745157419111695;15:0.0013828724303182327","6:128;4:148;15:128","0.0126953125","Yes"
"6","20.73487351090501","38.79414333320908","0.013671875","0.02587890625","0.00146484375","2400","0.000693254036751775","32","0.000693254036751775","0","0.000693254036751775","0.000693254036751775","5:0.008438121212747896;7:0.018302970524005174;16:0.054045762430381256","5:128;7:128;16:488","0.013671875","Yes"
"7","58.01043175786258","106.24502035288897","0.0380859375","0.013671875","0.0625","2400","0.0002551436140446263","32","0.0002551436140446263","0","0.0002551436140446263","0.0002551436140446263","17:0.003358426450658286;6:0.018302970524005174;8:0.0024733402783657654","17:128;6:128;8:128","0.0380859375","Yes"
"8","291.61137814459374","270.1304994968355","0.0341796875","0.0126953125","0.0556640625","2400","0.00013852207560038291","32","0.00013852207560038291","0","0.00013852207560038291","0.00013852207560038291","9:0.002273001367925076;18:0.0013988476861018784;7:0.0024733402783657654","9:128;18:128;7:128","0.0341796875","Yes"
"9","322.0831711294658","313.8936658915771","0.0087890625","0.01025390625","0.00732421875","2400","0.00022385040364009739","32","0.00022385040364009739","0","0.00022385040364009739","0.00022385040364009739","8:0.002273001367925076;19:0.0030862696670256595","8:128;19:128","0.0087890625","Yes"
"10","248.1090755117898","251.02993992074718","0.01416015625","0.02001953125","0.00830078125","2400","0.0002118703498713381","32","0.0002118703498713381","0","0.0002118703498713381","0.0002118703498713381","20:0.0011370225946189805;11:0.019732056487347605;0:0.0014961014367921577","20:128;11:128;0:128","0.01416015625","Yes"
