"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"0","71.12846234003753","109.67835242421341","0.0150146484375","0.01708984375","0.012939453125","2584","0.0005479647378190747","32","0.0005479647378190747","0","0.0005479647378190747","0.0005479647378190747","1:0.0033061996095014867","1:88","1:0.0030986876123142992","0.0150146484375","0.0078125","Yes"
"1","313.2120535413874","289.1876343376107","0.0101318359375","0.01416015625","0.006103515625","2584","0.0002167640834283849","32","0.0002167640834283849","0","0.0002167640834283849","0.0002167640834283849","2:0.002099261725048762;0:0.0033061996095014867","2:88;0:88","2:0.001514949845781155;0:0.0030986876123142992","0.0101318359375","0.019775390625","Yes"
"2","287.24168651140184","287.6627622575312","0.0047607421875","0.00732421875","0.002197265625","2584","0.00016658259693571285","32","0.00016658259693571285","0","0.00016658259693571285","0.00016658259693571285","1:0.002099261725048762;3:0.001085268533877748","1:88;3:88","1:0.001514949845781155;3:0.0009253232351323082","0.0047607421875","0.009033203125","Yes"
"3","253.7579739056546","239.50888248906125","0.0084228515625","0.00927734375","0.007568359375","2584","0.00014102343880240692","32","0.00014102343880240692","0","0.00014102343880240692","0.00014102343880240692","16:0.0012339004623069527;2:0.001085268533877748;4:0.0009197773252179187","16:88;2:88;4:88","16:0.0010255692278215156;2:0.0009253232351323082;4:0.0012189899951826344","0.0084228515625","0.01611328125","Yes"
"4","297.29879152131144","259.5828562067057","0.0113525390625","0.015625","0.007080078125","2584","0.00043174157595034007","32","0.00043174157595034007","0","0.00043174157595034007","0.00043174157595034007","3:0.0009197773252179187;5:0.00117916187075931","3:88;5:88","3:0.0012189899951826344;5:0.0017038998419441898","0.0113525390625","0.0126953125","Yes"
"5","232.91841132765447","214.22312066295711","0.0242919921875","0.0380859375","0.010498046875","2584","0.0001817399293500693","32","0.0001817399293500693","0","0.0001817399293500693","0.0001817399293500693","6:0.002226676368606434;4:0.00117916187075931","6:88;4:88","6:0.0011604678365610133;4:0.0017038998419441898","0.0242919921875","0.00927734375","Yes"
"6","166.07617285807203","185.6311878758229","0.0172119140625","0.018798828125","0.015625","2584","0.000329454111507811","32","0.000329454111507811","0","0.000329454111507811","0.000329454111507811","5:0.002226676368606434;7:0.002227682958455407","5:88;7:88","5:0.0011604678365610133;7:0.002214770016691292","0.0172119140625","0.02392578125","Yes"
"7","312.6591980598295","260.9069406269032","0.0103759765625","0.018310546875","0.00244140625","2584","0.000350544955649618","32","0.000350544955649618","0","0.000350544955649618","0.000350544955649618","17:0.003912686613155664;6:0.002227682958455407;8:0.0025114917086206667","17:88;6:88;8:88","17:0.0037341270862752685;6:0.002214770016691292","0.0103759765625","0.006591796875","Yes"
"8","262.48902441483017","345.56935844482405","0.013671875","0.01025390625","0.01708984375","2584","0.00024667755544433836","32","0.00024667755544433836","0","0.00024667755544433836","0.00024667755544433836","9:0.013177281683721342;7:0.0025114917086206667","9:88;7:88","9:0.11233072919189643","0.013671875","0.006103515625","Yes"
"9","68.71972136811789","58.402175896678884","0.09130859375","0.171142578125","0.011474609375","2584","0.0010108727638960227","32","0.0010108727638960227","0","0.0010108727638960227","0.0010108727638960227","8:0.013177281683721342;10:0.004858668760026608","8:88;10:88","8:0.11233072919189643;10:0.006181810035584018","0.09130859375","0.017578125","Yes"
"10","308.8940577145934","366.9682747193016","0.010009765625","0.01171875","0.006103515625","2584","0.0001864059761725077","32","0.0001864059761725077","0","0.0001864059761725077","0.0001864059761725077","9:0.004858668760026608;11:0.0012468424545321044","9:88;11:88","9:0.006181810035584018;11:0.0013617993965926445","0.010009765625","0.0068359375","Yes"
"11","312.51865683394806","298.8202827175671","0.0098876953125","0.01123046875","0.008544921875","2584","0.00011232332457414413","32","0.00011232332457414413","0","0.00011232332457414413","0.00011232332457414413","18:0.0014920725896724885;10:0.0012468424545321044;12:0.0010276985167626818","18:88;10:88;12:88","18:0.002521084479673086;10:0.0013617993965926445;12:0.001032208558246206","0.0098876953125","0.009521484375","Yes"
"12","309.2067687602086","297.7860506909396","0.026123046875","0.037841796875","0.014404296875","2584","0.00015078392860658568","32","0.00015078392860658568","0","0.00015078392860658568","0.00015078392860658568","13:0.0013968163558012447;11:0.0010276985167626818","13:88;11:88","13:0.005569682562153427;11:0.001032208558246206","0.026123046875","0.01025390625","Yes"
"13","260.9628202076399","257.7143676241223","0.0347900390625","0.033203125","0.036376953125","2584","0.00011106687502792044","32","0.00011106687502792044","0","0.00011106687502792044","0.00011106687502792044","12:0.0013968163558012447;14:0.0013224674334659514","12:88;14:88","12:0.005569682562153427;14:0.0012209725239165636","0.0347900390625","0.03466796875","Yes"
"14","308.9897569613539","326.20456358139774","0.03515625","0.03369140625","0.03662109375","2584","0.00017576118510407988","32","0.00017576118510407988","0","0.00017576118510407988","0.00017576118510407988","15:0.0022769971105360276;13:0.0013224674334659514","15:88;13:88","15:0.0017231673485029186;13:0.0012209725239165636","0.03515625","0.01904296875","Yes"
"15","335.3281473041375","367.4907667810901","0.059814453125","0.04931640625","0.0703125","2584","0.00019547315824474564","32","0.00019547315824474564","0","0.00019547315824474564","0.00019547315824474564","14:0.0022769971105360276;19:0.0013384207791347913","14:88;19:88","14:0.0017231673485029186;19:0.001155374080311633","0.059814453125","0.035888671875","Yes"
"16","251.13984003951037","338.7227694176375","0.01513671875","0.0205078125","0.009765625","2584","0.00009440294667142397","32","0.00009440294667142397","0","0.00009440294667142397","0.00009440294667142397","23:0.004702127452211463;3:0.0012339004623069527","23:88;3:88","3:0.0010255692278215156","0.01513671875","0.009033203125","Yes"
"17","298.6252814054238","274.22819565954296","0.007568359375","0.0107421875","0.00439453125","2584","0.00019128081279189165","32","0.00019128081279189165","0","0.00019128081279189165","0.00019128081279189165","7:0.003912686613155664;27:0.0014622616029461577","7:88;27:88","7:0.0037341270862752685;27:0.0016395397266096012","0.007568359375","0.004150390625","Yes"
