"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","115.2263264704152","84.65599936444376","0.11572265625","0.12353515625","0.10791015625","1560","0.0002755220917806244","32","0.0002755220917806244","0","0.0002755220917806244","0.0002755220917806244","15:0.0023357983897290546;1:0.0022744469437159798","15:68;1:68","15:0.0020424892882485723;1:0.002723579080092131","0.11572265625","Yes"
"1","200.5435158270025","174.54230245505204","0.094970703125","0.07275390625","0.1171875","1560","0.00022036917060365335","32","0.00022036917060365335","0","0.00022036917060365335","0.00022036917060365335","2:0.0023819072675637376;0:0.0022744469437159798","2:68;0:68","2:0.0022514346949267794;0:0.002723579080092131","0.094970703125","Yes"
"2","171.76171157067014","149.47699307404417","0.051025390625","0.056640625","0.04541015625","1560","0.00029029657489049973","32","0.00029029657489049973","0","0.00029029657489049973","0.00029029657489049973","1:0.0023819072675637376;3:0.0013931360134540327","1:68;3:68","1:0.0022514346949267794;3:0.0011627375650866412","0.051025390625","Yes"
"3","194.67253904648467","157.9232705638355","0.02685546875","0.02392578125","0.02978515625","1560","0.00017167451135650358","32","0.00017167451135650358","0","0.00017167451135650358","0.00017167451135650358","2:0.0013931360134540327;4:0.001738734617077714","2:68;4:68","2:0.0011627375650866412;4:0.002488274545198371","0.02685546875","Yes"
"4","150.44142726105378","153.78135417379528","0.04638671875","0.05908203125","0.03369140625","1560","0.00029371530314397526","32","0.00029371530314397526","0","0.00029371530314397526","0.00029371530314397526","3:0.001738734617077714;5:0.002046019858188808;16:0.0017673018858865575","3:68;5:68;16:80","3:0.002488274545198371;5:0.001835776105642034;16:0.0018357956728885239","0.04638671875","Yes"
"5","98.85493050251615","145.03574906155822","0.08056640625","0.06494140625","0.09619140625","1560","0.00017664081390520773","32","0.00017664081390520773","0","0.00017664081390520773","0.00017664081390520773","6:0.002316583446579784;4:0.002046019858188808","6:68;4:68","6:0.0022568040965356972;4:0.001835776105642034","0.08056640625","Yes"
"6","44.26135914747717","85.76287543773243","0.034912109375","0.04541015625","0.0244140625","1560","0.0003476286603214796","32","0.0003476286603214796","0","0.0003476286603214796","0.0003476286603214796","5:0.002316583446579784;7:0.001877965657950259","5:68;7:68","5:0.0022568040965356972;7:0.0020615413067158472","0.034912109375","Yes"
"7","124.35571233062034","104.55027089478082","0.07958984375","0.0615234375","0.09765625","1560","0.0003854823891449924","32","0.0003854823891449924","0","0.0003854823891449924","0.0003854823891449924","6:0.001877965657950259;8:0.0020426314447960225","6:68;8:68","6:0.0020615413067158472;8:0.0016522301636322512","0.07958984375","Yes"
"8","205.63099843742268","198.47345292338943","0.0810546875","0.06884765625","0.09326171875","1560","0.0005480718629340965","32","0.0005480718629340965","0","0.0005480718629340965","0.0005480718629340965","9:0.002082636971206614;17:0.0026094470132228265;7:0.0020426314447960225","9:68;17:108;7:68","9:0.0027765976600863385;17:0.0021394761076014845;7:0.0016522301636322512","0.0810546875","Yes"
"9","101.07063889426526","116.19466688154985","0.02734375","0.05224609375","0.00244140625","1560","0.0003256730783634015","32","0.0003256730783634015","0","0.0003256730783634015","0.0003256730783634015","8:0.002082636971206614","8:68;10:68","8:0.0027765976600863385;10:0.0016580402583633302","0.02734375","Yes"
